05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) shared-1.0-0108.1AXS3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) gphoto2-2.2.0-3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) kdebase-3.5.5-23.40AXS3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) fileshareui-1.0-1229.9AXS3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) printershareui-1.0-0110AXS3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) gnome-vfs2-2.16.2-4.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) gnome-mount-0.5-3.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) krb5-auth-dialog-0.7-1.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) avahi-0.6.16-1AXS3.1.x86_64
05/29/09 04:57:31 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by (installed) cups-1.3.7-8.4.1AXS3.x86_64
05/29/09 04:57:31 GUI Cannot connect with the TSN Server. See /var/log/axtu/error.log
